"name","destination","chain_id","res_partner_id","categ_id"
"RIU VARADERO","VARADERO","RIU HOTELS & RESORTS","RIU VARADERO","Hotel"
"ROC ARENAS DORADAS","VARADERO","ROC HOTELS","ROC ARENAS DORADAS","Hotel"
"ROC BARLOVENTO","VARADERO","ROC HOTELS","ROC BARLOVENTO","Hotel"
"ROC PRESIDENTE","VEDADO","ROC HOTELS","ROC PRESIDENTE","Hotel"
"ROYAL HICACOS","VARADERO","BLUE DIAMOND HOTELS & RESORTS","ROYAL HICACOS","Hotel"
"ROYALTON","BAYAMO CITY","ISLAZUL","ROYALTON","Hotel"
"ROYALTON CAYO SANTA MARIA","CAYO SANTA MARIA","BLUE DIAMOND HOTELS & RESORTS","ROYALTON CAYO SANTA MARIA","Hotel"
"SAINT JOHN'S","VEDADO","GRAN CARIBE","SAINT JOHN'S","Hotel"
"SAN ALEJANDRO","HAVANA","ISLAZUL","SAN ALEJANDRO","Hotel"
"SAN BASILIO","SANTIAGO DE CUBA CITY","CUBANACAN HOTELES","SAN BASILIO","Hotel"
"SAN JUAN","SANTIAGO DE CUBA CITY","ISLAZUL","SAN JUAN","Hotel"
"SANTA CLARA LIBRE","SANTA CLARA CITY","ISLAZUL","SANTA CLARA LIBRE","Hotel"
"SANTA ISABEL","OLD HAVANA","HABAGUANEX S.A.","SANTA ISABEL","Hotel"
"SANTIAGO HABANA","CIEGO DE AVILA CITY","ISLAZUL","SANTIAGO HABANA","Hotel"
"SARATOGA","OLD HAVANA","HABAGUANEX S.A.","SARATOGA","Hotel"
"SIERRA MAESTRA","BAYAMO CITY","ISLAZUL","SIERRA MAESTRA","Hotel"
"SOL CAYO COCO","CAYO COCO","MELIA HOTELS INT.","SOL CAYO COCO","Hotel"
"SOL CAYO GUILLERMO","CAYO GUILLERMO","MELIA HOTELS INT.","SOL CAYO GUILLERMO","Hotel"
"SOL CAYO LARGO","CAYO LARGO","MELIA HOTELS INT.","SOL CAYO LARGO","Hotel"
"SOL CAYO SANTA MARIA","CAYO SANTA MARIA","MELIA HOTELS INT.","SOL CAYO SANTA MARIA","Hotel"
"SOL PALMERAS","VARADERO","MELIA HOTELS INT.","SOL PALMERAS","Hotel"
"SOL PELICANO","CAYO LARGO","MELIA HOTELS INT.","SOL PELICANO","Hotel"
"SOL RIO DE LUNA Y MARES","GUARDALAVACA","MELIA HOTELS INT.","SOL RIO DE LUNA Y MARES","Hotel"
"SOL SIRENAS - CORAL","VARADERO","MELIA HOTELS INT.","SOL SIRENAS - CORAL","Hotel"
"SOTAVENTO","VARADERO","ISLAZUL","SOTAVENTO","Hotel"
"SUNBEACH","VARADERO","GRAN CARIBE","SUNBEACH","Hotel"
"TARARACO","CAMAGUEY","ISLAZUL","TARARACO","Hotel"
"TEJADILLO","OLD HAVANA","HABAGUANEX S.A.","TEJADILLO","Hotel"
"TELEGRAFO","OLD HAVANA","HABAGUANEX S.A.","TELEGRAFO","Hotel"
"TERRAL","OLD HAVANA","HABAGUANEX S.A.","TERRAL","Hotel"
"TROPICOCO","EASTERN BEACHES","CUBANACAN HOTELES","TROPICOCO","Hotel"
"TRYP CAYO COCO","CAYO COCO","MELIA HOTELS INT.","TRYP CAYO COCO","Hotel"
"TRYP HABANA LIBRE","VEDADO","MELIA HOTELS INT.","TRYP HABANA LIBRE","Hotel"
"TULIPAN","HAVANA","ISLAZUL","TULIPAN","Hotel"
"BE LIVE TURQUESA","VARADERO","BE LIVE","BE LIVE TURQUESA","Hotel"
"TUXPAN","VARADERO","CUBANACAN HOTELES","TUXPAN","Hotel"
"VARAZUL","VARADERO","ISLAZUL","VARAZUL","Hotel"
"VEDADO","VEDADO","GRAN CARIBE","VEDADO","Hotel"
"VELASCO","MATANZAS CITY","CUBANACAN HOTELES","VELASCO","Hotel"
"VERSALLES","SANTIAGO DE CUBA CITY","CUBANACAN HOTELES","VERSALLES","Hotel"
"VICTORIA","VEDADO","GRAN CARIBE","VICTORIA","Hotel"
"VILLA AGUAS CLARAS","PINAR DEL RIO CITY","CUBAMAR","VILLA AGUAS CLARAS","Hotel"
"VILLA BACURANAO","EASTERN BEACHES","ISLAZUL","VILLA BACURANAO","Hotel"
"VILLA BAYAMO","BAYAMO CITY","ISLAZUL","VILLA BAYAMO","Hotel"
"VILLA CABURNI","TOPES DE COLLANTES","GAVIOTA HOTELES","VILLA CABURNI","Hotel"
"VILLA CAYO SAETIA","CAYO SAETIA","GAVIOTA HOTELES","VILLA CAYO SAETIA","Hotel"
"VILLA COJIMAR","","","VILLA COJIMAR","Hotel"
"VILLA CORAL","CAYO LARGO","GRAN CARIBE","VILLA CORAL","Hotel"
"VILLA CUBA","VARADERO","GRAN CARIBE","VILLA CUBA","Hotel"
